"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"374","GM160",8,"GM160-8","",NA,NA,NA,NA
"375","GM160",9,"GM160-9","",NA,NA,NA,NA
"376","GMT02",1,"GMT02-1","",NA,NA,NA,NA
"377","GMT02",2,"GMT02-2","",NA,NA,NA,NA
"378","GMT02",3,"GMT02-3","",NA,NA,NA,NA
"379","GMT02",4,"GMT02-4","",NA,NA,NA,NA
"380","GMT02",5,"GMT02-5","",NA,NA,NA,NA
"381","GMT02",8,"GMT02-8","",NA,NA,NA,NA
"382","GOJ06",1,"GOJ06-1","",NA,NA,NA,NA
"383","GOJ06",2,"GOJ06-2","",NA,NA,NA,NA
"384","GOJ06",3,"GOJ06-3","",NA,NA,NA,NA
"385","GOJ06",4,"GOJ06-4","",NA,NA,NA,NA
"386","GOJ06",5,"GOJ06-5","",NA,NA,NA,NA
"387","GOJ06",7,"GOJ06-7","",NA,NA,NA,NA
"388","GOJ06",8,"GOJ06-8","",NA,NA,NA,NA
"389","GOJ06",9,"GOJ06-9","",NA,NA,NA,NA
"390","GRW91",2,"GRW91-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"391","GSJ06",1,"GSJ06-1","",NA,NA,NA,NA
"392","GSJ06",10,"GSJ06-10","",NA,NA,NA,NA
"393","GSJ06",2,"GSJ06-2","",NA,NA,NA,NA
"394","GSJ06",3,"GSJ06-3","",NA,NA,NA,NA
"395","GSJ06",4,"GSJ06-4","",NA,NA,NA,NA
"396","GSJ06",5,"GSJ06-5","",NA,NA,NA,NA
"397","GSJ06",6,"GSJ06-6","",NA,NA,NA,NA
"398","GSJ06",8,"GSJ06-8","",NA,NA,NA,NA
"399","GSJ06",9,"GSJ06-9","",NA,NA,NA,NA
"400","GSM97",1,"GSM97-1","",NA,NA,NA,NA
"401","GSM97",10,"GSM97-10","",NA,NA,NA,NA
"402","GSM97",2,"GSM97-2","",NA,NA,NA,NA
"403","GSM97",3,"GSM97-3","",NA,NA,NA,NA
"404","GSM97",4,"GSM97-4","",NA,NA,NA,NA
"405","GSM97",5,"GSM97-5","",NA,NA,NA,NA
"406","GSM97",6,"GSM97-6","",NA,NA,NA,NA
"407","GSM97",9,"GSM97-9","",NA,NA,NA,NA
"408","GSY07",1,"GSY07-1","NATURAL, ARCHAEOLOGICALLY STERILE, SUBSTRATE",NA,NA,NA,NA
"409","GUD99",1,"GUD99-1","Natural topography and stream tributaries (pre-Roman)",NA,43,NA,NA
"410","GWO05",1,"GWO05-1","",NA,NA,NA,NA
"411","GWO05",2,"GWO05-2","",NA,NA,NA,NA
"412","GWO05",3,"GWO05-3","",NA,NA,NA,NA
"413","GWO05",4,"GWO05-4","",NA,NA,NA,NA
